sku,brand,brand_tier,category,product_name,variant,pack_size,price_idr,launch_year,is_flagship
CHI-SNA-BBQ-598,Chitato,premium,Snacks,Chitato Snacks BBQ,BBQ,50g,30290,2018,True
CHI-SNA-BBQ-823,Chitato,premium,Snacks,Chitato Snacks BBQ,BBQ,50g,67713,2022,False
CHI-SNA-SPI-808,Chitato,premium,Snacks,Chitato Snacks Spicy,Spicy,150g,33316,2019,True
CHI-SNA-CHE-561,Chitato,premium,Snacks,Chitato Snacks Cheese,Cheese,200g,52002,2019,True
CHI-SNA-FAM-710,Chitato,premium,Snacks,Chitato Snacks Family Pack,Family Pack,50g,36796,2023,False
MAR-CON-SPE-456,Mars,premium,Confectionery,Mars Confectionery Special,Special,200g,52445,2018,True
MAR-CON-REG-642,Mars,premium,Confectionery,Mars Confectionery Regular,Regular,100g,31270,2022,False
IND-CON-PRE-775,Indofood,mass,Condiments,Indofood Condiments Premium,Premium,500ml,16819,2020,False
IND-CON-REG-215,Indofood,mass,Condiments,Indofood Condiments Regular,Regular,100g,14889,2023,False
IND-CON-PRE-280,Indofood,mass,Condiments,Indofood Condiments Premium,Premium,200g,15235,2023,False
HEA-PER-REG-391,Head & Shoulders,premium,Personal Care,Head & Shoulders Personal Care Regular,Regular,200ml,38735,2021,False
HEA-PER-WHI-924,Head & Shoulders,premium,Personal Care,Head & Shoulders Personal Care Whitening,Whitening,300ml,74703,2021,True
CLE-PER-REG-280,Clear,premium,Personal Care,Clear Personal Care Regular,Regular,300ml,35357,2024,True
CLE-PER-ANT-218,Clear,premium,Personal Care,Clear Personal Care Anti-Aging,Anti-Aging,300ml,29643,2019,False
HEA-PER-ANT-865,Head & Shoulders,economy,Personal Care,Head & Shoulders Personal Care Anti-Aging,Anti-Aging,150ml,10336,2019,False
HEA-PER-REG-333,Head & Shoulders,economy,Personal Care,Head & Shoulders Personal Care Regular,Regular,200ml,6606,2019,False
HEA-PER-ANT-484,Head & Shoulders,economy,Personal Care,Head & Shoulders Personal Care Anti-Aging,Anti-Aging,150ml,8615,2018,False
HEA-PER-ANT-596,Head & Shoulders,economy,Personal Care,Head & Shoulders Personal Care Anti-Aging,Anti-Aging,300ml,5890,2021,False
SUN-PER-SEN-565,Sunsilk,mass,Personal Care,Sunsilk Personal Care Sensitive,Sensitive,300ml,15834,2021,False
SUN-PER-WHI-568,Sunsilk,mass,Personal Care,Sunsilk Personal Care Whitening,Whitening,150ml,16362,2023,False
SUN-PER-WHI-307,Sunsilk,mass,Personal Care,Sunsilk Personal Care Whitening,Whitening,200ml,21006,2019,False
DOV-PER-NAT-387,Dove,premium,Personal Care,Dove Personal Care Natural,Natural,100ml,33945,2018,False
DOV-PER-ANT-275,Dove,premium,Personal Care,Dove Personal Care Anti-Aging,Anti-Aging,250ml,74829,2020,True
L'O-BEA-MOI-908,L'Oréal,mass,Beauty,L'Oréal Beauty Moisturizer,Moisturizer,50ml,15568,2022,False
L'O-BEA-MOI-188,L'Oréal,mass,Beauty,L'Oréal Beauty Moisturizer,Moisturizer,50ml,23490,2024,False
L'O-BEA-MOI-982,L'Oréal,mass,Beauty,L'Oréal Beauty Moisturizer,Moisturizer,150ml,17092,2022,False
L'O-BEA-CLE-385,L'Oréal,mass,Beauty,L'Oréal Beauty Cleanser,Cleanser,150ml,10475,2023,False
IND-INS-CHI-435,Indomie,mass,Instant Noodles,Indomie Instant Noodles Chicken,Chicken,85g,24229,2022,False
IND-INS-CHI-687,Indomie,mass,Instant Noodles,Indomie Instant Noodles Chicken,Chicken,85g,10166,2021,False
IND-INS-ORI-581,Indomie,mass,Instant Noodles,Indomie Instant Noodles Original,Original,70g,26522,2018,False
IND-INS-SEA-590,Indomie,mass,Instant Noodles,Indomie Instant Noodles Seafood,Seafood,120g,13211,2021,False
IND-INS-SEA-185,Indomie,mass,Instant Noodles,Indomie Instant Noodles Seafood,Seafood,85g,28300,2024,False
PEP-BEV-EXT-235,PepsiCo,premium,Beverages,PepsiCo Beverages Extra,Extra,350ml,48488,2020,True
PEP-BEV-ORI-591,PepsiCo,premium,Beverages,PepsiCo Beverages Original,Original,250ml,68845,2020,True
UNI-PER-NAT-124,Unilever,premium,Personal Care,Unilever Personal Care Natural,Natural,300ml,54808,2021,True
UNI-PER-ANT-908,Unilever,premium,Personal Care,Unilever Personal Care Anti-Aging,Anti-Aging,150ml,49275,2023,False
UNI-PER-REG-494,Unilever,premium,Personal Care,Unilever Personal Care Regular,Regular,100ml,70269,2020,True
UNI-PER-WHI-870,Unilever,premium,Personal Care,Unilever Personal Care Whitening,Whitening,250ml,42680,2023,True
UNI-PER-REG-443,Unilever,premium,Personal Care,Unilever Personal Care Regular,Regular,300ml,73218,2018,False
VAS-PER-REG-474,Vaseline,premium,Personal Care,Vaseline Personal Care Regular,Regular,250ml,55497,2022,True
VAS-PER-WHI-279,Vaseline,premium,Personal Care,Vaseline Personal Care Whitening,Whitening,200ml,67478,2022,True
DOV-BEA-NIG-344,Dove,mass,Beauty,Dove Beauty Night Cream,Night Cream,100ml,27682,2018,False
DOV-BEA-CLE-871,Dove,mass,Beauty,Dove Beauty Cleanser,Cleanser,50ml,17387,2020,False
DOV-BEA-SER-615,Dove,mass,Beauty,Dove Beauty Serum,Serum,100ml,23858,2020,False
TEH-BEV-ORI-453,Teh Botol Sosro,economy,Beverages,Teh Botol Sosro Beverages Original,Original,500ml,12412,2021,False
TEH-BEV-PRE-949,Teh Botol Sosro,economy,Beverages,Teh Botol Sosro Beverages Premium,Premium,1.5L,7010,2021,False
ABC-CON-PRE-476,ABC,economy,Condiments,ABC Condiments Premium,Premium,500ml,6075,2019,False
ABC-CON-PRE-182,ABC,economy,Condiments,ABC Condiments Premium,Premium,100g,11400,2019,False
ABC-CON-PRE-211,ABC,economy,Condiments,ABC Condiments Premium,Premium,100g,7699,2020,False
ABC-CON-REG-251,ABC,economy,Condiments,ABC Condiments Regular,Regular,500ml,13131,2019,False
ORA-PER-NAT-400,Oral-B,economy,Personal Care,Oral-B Personal Care Natural,Natural,100ml,11824,2023,False
ORA-PER-NAT-585,Oral-B,economy,Personal Care,Oral-B Personal Care Natural,Natural,150ml,10680,2021,False
ORA-PER-ANT-398,Oral-B,economy,Personal Care,Oral-B Personal Care Anti-Aging,Anti-Aging,100ml,8097,2018,False
P&G-PER-SEN-760,P&G,mass,Personal Care,P&G Personal Care Sensitive,Sensitive,300ml,21006,2021,False
P&G-PER-NAT-771,P&G,mass,Personal Care,P&G Personal Care Natural,Natural,200ml,20692,2021,False
COC-BEV-EXT-680,Coca-Cola,economy,Beverages,Coca-Cola Beverages Extra,Extra,500ml,7161,2024,False
COC-BEV-LIG-908,Coca-Cola,economy,Beverages,Coca-Cola Beverages Light,Light,350ml,9259,2019,False
COC-BEV-EXT-395,Coca-Cola,economy,Beverages,Coca-Cola Beverages Extra,Extra,500ml,5775,2019,False
COC-BEV-LIG-566,Coca-Cola,economy,Beverages,Coca-Cola Beverages Light,Light,500ml,7725,2022,False
COC-BEV-SUG-392,Coca-Cola,economy,Beverages,Coca-Cola Beverages Sugar-Free,Sugar-Free,1.5L,7986,2019,False
LIF-PER-SEN-219,Lifebuoy,premium,Personal Care,Lifebuoy Personal Care Sensitive,Sensitive,150ml,27696,2020,True
LIF-PER-ANT-478,Lifebuoy,premium,Personal Care,Lifebuoy Personal Care Anti-Aging,Anti-Aging,200ml,37091,2019,True
LIF-PER-WHI-251,Lifebuoy,premium,Personal Care,Lifebuoy Personal Care Whitening,Whitening,200ml,49439,2021,True
VAS-PER-REG-514,Vaseline,economy,Personal Care,Vaseline Personal Care Regular,Regular,100ml,13182,2024,False
VAS-PER-SEN-427,Vaseline,economy,Personal Care,Vaseline Personal Care Sensitive,Sensitive,250ml,7556,2018,False
VAS-PER-NAT-439,Vaseline,economy,Personal Care,Vaseline Personal Care Natural,Natural,300ml,9842,2021,False
VAS-PER-WHI-782,Vaseline,economy,Personal Care,Vaseline Personal Care Whitening,Whitening,300ml,7409,2024,False
WAR-BEA-SER-849,Wardah,economy,Beauty,Wardah Beauty Serum,Serum,30ml,12847,2018,False
WAR-BEA-NIG-415,Wardah,economy,Beauty,Wardah Beauty Night Cream,Night Cream,30ml,5406,2021,False
WAR-BEA-MOI-556,Wardah,economy,Beauty,Wardah Beauty Moisturizer,Moisturizer,50ml,10855,2018,False
WAR-BEA-SER-722,Wardah,economy,Beauty,Wardah Beauty Serum,Serum,30ml,8197,2022,False
WAR-BEA-MOI-900,Wardah,economy,Beauty,Wardah Beauty Moisturizer,Moisturizer,50ml,9553,2019,False
PAN-PER-REG-969,Pantene,mass,Personal Care,Pantene Personal Care Regular,Regular,300ml,24596,2023,False
PAN-PER-REG-503,Pantene,mass,Personal Care,Pantene Personal Care Regular,Regular,300ml,16371,2021,False
P&G-BEA-MOI-782,P&G,premium,Beauty,P&G Beauty Moisturizer,Moisturizer,30ml,48662,2021,True
P&G-BEA-CLE-495,P&G,premium,Beauty,P&G Beauty Cleanser,Cleanser,100ml,49433,2018,False
P&G-BEA-SER-415,P&G,premium,Beauty,P&G Beauty Serum,Serum,100ml,54201,2024,True
P&G-BEA-NIG-859,P&G,premium,Beauty,P&G Beauty Night Cream,Night Cream,150ml,52237,2024,False
WIN-PER-SEN-846,Wings,premium,Personal Care,Wings Personal Care Sensitive,Sensitive,250ml,52144,2019,True
WIN-PER-SEN-410,Wings,premium,Personal Care,Wings Personal Care Sensitive,Sensitive,150ml,56104,2024,False
WIN-PER-REG-874,Wings,premium,Personal Care,Wings Personal Care Regular,Regular,300ml,49626,2018,True
WIN-PER-ANT-524,Wings,premium,Personal Care,Wings Personal Care Anti-Aging,Anti-Aging,200ml,36461,2022,False
PEP-BEV-SUG-952,PepsiCo,mass,Beverages,PepsiCo Beverages Sugar-Free,Sugar-Free,350ml,22509,2020,False
PEP-BEV-PRE-143,PepsiCo,mass,Beverages,PepsiCo Beverages Premium,Premium,1L,19895,2024,False
PEP-BEV-PRE-605,PepsiCo,mass,Beverages,PepsiCo Beverages Premium,Premium,500ml,28326,2023,False
IND-CON-REG-910,Indofood,premium,Condiments,Indofood Condiments Regular,Regular,100g,25160,2019,False
IND-CON-PRE-954,Indofood,premium,Condiments,Indofood Condiments Premium,Premium,500ml,66717,2021,True
IND-CON-SPE-394,Indofood,premium,Condiments,Indofood Condiments Special,Special,500ml,52338,2019,False
IND-CON-SPE-350,Indofood,premium,Condiments,Indofood Condiments Special,Special,500ml,26864,2018,False
IND-CON-PRE-713,Indofood,premium,Condiments,Indofood Condiments Premium,Premium,100g,73861,2020,False
