promo_id,headline,touchpoint,category,brand,brand_tier,sku,period,campaign_objective,budget_tier,budget_million_idr,duration_days,target_age_group,target_income_level,target_region,color_scheme,imagery_type,cta_style,tone,promo_type,kpi_lift,kpi_roi,ctr,conversion_rate,engagement_rate,roas,headline_length,description,description_length,kpi_lift_quartile,kpi_roi_quartile
PROMO001,KOMPETISI Upload Foto - Hadiah Mingguan!,in-store,Snacks,Chitato,premium,CHI-SNA-881,2024-Q3,conversion,low,129,14,36-45,Low,Bandung,Purple-Premium,Celebrity,Professional,Friendly,contest,0.325,6.1,0.0637,0.102,0.084,5.2,40,Contest campaign for Chitato Snacks targeting 36-45 demographic in Bandung,74,Medium-High,High
PROMO002,SPECIAL 15% DISCOUNT - Flash Sale!,in-store,Confectionery,Mars,premium,MAR-CON-799,2025-Q1,retention,high,4187,60,46-55,Upper-Middle,Bandung,Green-Fresh,Family,Friendly,Serious,discount,0.184,5.6,0.088,0.189,0.091,6.6,34,Discount campaign for Mars Confectionery targeting 46-55 demographic in Bandung,79,Low,Medium-High
PROMO003,KOMPETISI Kirim Video - Grand Prize!,digital,Condiments,Indofood,mass,IND-CON-369,2024-Q4,conversion,medium,1649,45,46-55,High,Bandung,Green-Fresh,Lifestyle,Friendly,Serious,contest,0.54,4.4,0.0273,0.053,0.133,4.4,36,Contest campaign for Indofood Condiments targeting 46-55 demographic in Bandung,79,High,Medium-Low
PROMO004,SALE 20% OFF - Head & Shoulders Personal Care!,flyer,Personal Care,Head & Shoulders,premium,HEA-PER-369,2025-Q1,upselling,medium,1978,60,36-45,Low,Semarang,Yellow-Energy,Lifestyle,Playful,Exciting,discount,0.223,3.4,0.0549,0.04,0.113,3.2,46,Discount campaign for Head & Shoulders Personal Care targeting 36-45 demographic in Semarang,92,Medium-Low,Medium-Low
PROMO005,BELI 2 GRATIS 1 - Hemat Lebih!,in-store,Personal Care,Clear,premium,CLE-PER-993,2024-Q4,retention,high,4171,45,18-25,Middle,Bandung,Purple-Premium,Celebrity,Authoritative,Trustworthy,bogo,0.285,5.4,0.0405,0.147,0.285,4.4,30,Bogo campaign for Clear Personal Care targeting 18-25 demographic in Bandung,76,Medium-Low,Medium-High
PROMO006,KOMPETISI Upload Foto - Total 100 Juta!,digital,Personal Care,Head & Shoulders,economy,HEA-PER-385,2024-Q3,conversion,high,6211,14,18-25,Middle,Surabaya,Red-Bold,Festival,Professional,Exciting,contest,0.477,4.4,0.0182,0.179,0.303,4.9,39,Contest campaign for Head & Shoulders Personal Care targeting 18-25 demographic in Surabaya,91,High,Medium-Low
PROMO007,BELI 2 GRATIS 2 - Best Deal!,flyer,Personal Care,Sunsilk,mass,SUN-PER-177,2025-Q1,conversion,high,4046,90,26-35,High,Bandung,Yellow-Energy,Lifestyle,Professional,Premium,bogo,0.303,3.4,0.0602,0.08,0.077,3.4,28,Bogo campaign for Sunsilk Personal Care targeting 26-35 demographic in Bandung,78,Medium-High,Medium-Low
PROMO008,BUY 1 GET 1 FREE - Dove Personal Care!,flyer,Personal Care,Dove,premium,DOV-PER-865,2024-Q3,awareness,premium,45533,7,46-55,Middle,Medan,Green-Fresh,Lifestyle,Urgent,Fun,bogo,0.245,6.0,0.0439,0.166,0.175,6.1,38,Bogo campaign for Dove Personal Care targeting 46-55 demographic in Medan,73,Medium-Low,High
PROMO009,DISKON 20% - Stok Terbatas!,in-store,Beauty,L'Oréal,mass,L'O-BEA-505,2024-Q3,upselling,premium,25642,21,55+,Upper-Middle,Semarang,Blue-Trust,Minimalist,Emotional,Friendly,discount,0.348,4.7,0.1168,0.181,0.357,5.4,27,Discount campaign for L'Oréal Beauty targeting 55+ demographic in Semarang,74,Medium-High,Medium-High
PROMO010,DISKON 25% - Terbatas!,outdoor,Instant Noodles,Indomie,mass,IND-INS-378,2024-Q4,awareness,medium,1633,14,18-25,Upper-Middle,Surabaya,Blue-Trust,Family,Urgent,Exciting,discount,0.189,2.7,0.0113,0.032,0.041,2.5,22,Discount campaign for Indomie Instant Noodles targeting 18-25 demographic in Surabaya,85,Low,Low
